experimento,descripcion,mAP@0.5,mAP@.5:.95,precision,recall,F1@0.5,best_F1,best_F1_conf
Baseline (v1),"RT-DETR-L @640, config inicial",0.590892550036065,0.2964116663537354,0.6351277868406743,0.5620113075905209,0.5963367158082837,0.5963367158082837,0.5
v2 (S1+S2+S5+EMA),loss pro-recall + 768px + LR disc. + EMA,0.6352836417834542,0.32460025590056873,0.5870807721341529,0.6548779020810779,0.6191288524963039,0.626156202143951,0.55
R (+regularización),v2 + weight_decay 5e-4 + random_erasing,0.6420448136819396,0.32807199277226995,0.580937167199148,0.6562011307590521,0.6162797266000112,0.6257946210268948,0.55
RC (+balanceo clase),R + balanced_sampling (NEGATIVO),0.6393640902832145,0.32418710245410487,0.5562966650074664,0.6722001684109227,0.6087809129534807,0.6231422505307856,0.55
R + TTA,R + test-time augmentation (eval),0.6490013602533333,0.3270670596237782,0.5043944086381519,0.7248887284975339,0.5948667324777888,0.6262010780407781,0.6
